character,total,start,middle,end
*18,100,33.333336,33.333336,33.333336
to,100,16.442953,25.503355,58.05369
no,100,4.402516,22.012577,73.58491
*22,100,33.333336,66.66667,0.0
ja,100,4.6153846,33.076923,62.307693
ro,100,3.8709679,37.096775,59.032257
ri,100,8.520179,86.098656,5.381166
ta,100,12.258064,36.774193,50.967743
*34,100,40.0,60.000004,0.0
ke,100,17.460318,71.95767,10.58201
te,100,13.145539,61.971832,24.88263
si,100,19.512194,60.162605,20.325203
zo,100,16.216215,27.027025,56.75676
*47,100,80.0,20.0,0.0
da,100,41.09589,52.054794,6.849315
ku,100,70.09346,26.168224,3.7383177
de,100,28.089888,31.460676,40.449436
so,100,0.0,26.126125,73.87387
ti,100,14.179105,75.37314,10.447762
jo,100,1.0033444,12.040133,86.95652
*49,100,33.333336,66.66667,0.0
wo,100,12.041884,36.649216,51.3089
*56,100,42.105263,47.368423,10.526316
du,100,47.368423,47.368423,5.263158
nu,100,2.0,82.0,16.0
ka,100,51.75097,36.96498,11.284046
i,100,35.074627,49.25373,15.671642
ko,100,30.188679,37.73585,32.07547
we,100,14.201183,36.094673,49.704144
po,100,45.217392,35.652172,19.130434
ra,100,20.677965,60.000004,19.322033
ro2,100,0.0,45.454548,54.545456
ru,100,18.666666,70.666664,10.666667
*63,100,50.0,50.0,0.0
*82,100,12.5,50.0,37.5
a,100,93.80734,2.9816513,3.211009
*35,100,0.0,100.0,0.0
*64,100,0.0,100.0,0.0
*65,100,0.0,87.5,12.5
ma,100,44.827587,48.965515,6.2068963
na,100,7.0866146,62.992126,29.92126
*79,100,0.0,0.0,100.0
o,100,64.42953,14.7651005,20.805368
wa,100,11.940298,59.701492,28.35821
ne,100,11.666667,57.5,30.833334
me,100,41.600002,53.600002,4.8
ra2,100,0.0,47.058823,52.941177
di,100,66.66667,30.555555,2.777778
sa,100,36.974792,46.218487,16.806723
je,100,2.7027028,89.189186,8.108108
nwa,100,0.0,44.444447,55.555557
do,100,35.820896,52.238804,11.940298
dwe,100,0.0,50.0,50.0
e,100,71.900826,21.900827,6.198347
qe,100,42.857143,25.396828,31.746033
qo,100,10.810811,58.10811,31.081081
se,100,11.320755,81.13208,7.5471697
u,100,7.8947363,40.35088,51.754387
re,100,11.282051,74.871796,13.846154
wi,100,25.742575,70.297035,3.960396
a2,100,59.45946,24.324326,16.216215
mo,100,11.764706,29.411766,58.823532
ki,100,28.421053,67.36842,4.2105265
ni,100,0.0,90.47619,9.523809
tu,100,46.551723,51.724136,1.7241379
mi,100,24.285715,67.14285,8.571429
mu,100,57.894737,42.105263,0.0
qa,100,49.122807,33.333336,17.54386
ze,100,22.222223,72.22222,5.555556
pa,100,33.636364,55.454548,10.909091
pi,100,18.796993,60.15037,21.052631
pe,100,41.414143,56.565655,2.020202
pu,100,64.28571,32.142857,3.5714288
pu2,100,54.166668,41.666664,4.166667
qi,100,40.54054,54.05405,5.4054055
su,100,44.444447,50.0,5.555556
ta2,100,0.0,28.57143,71.42857
za,100,20.833332,37.5,41.666664
a3,100,93.877556,6.122449,0.0
au,100,100.0,0.0,0.0
*83,100,0.0,83.33333,16.666668
pte,100,37.5,37.5,25.0
dwo,100,33.333336,33.333336,33.333336
*19,100,0.0,50.0,50.0
ra3,100,0.0,80.0,20.0
*86,100,0.0,100.0,0.0
